CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,EqualizerMode,Success,Status,ErrorMessage,Runtime_s
1,NoH_baseline,GMSK,none,none,1115,NaN,0,NaN,0,0,0,0,0,100,0,42,44,0.00892,0.39248,0.37464,3.71744322673128,28.5951131071254,28.5951131071254,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.0959268
2,NoH_baseline,GMSK,convolutional,1/2,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01784,0.76712,0.73144,3.73467815930106,28.5549363624442,28.5549363624442,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,4.0687299
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.01338,0.57534,0.54858,3.74758602788259,28.5249677779679,28.5249677779679,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.5429076
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0118933333333333,0.511413333333333,0.487626666666667,3.74872892428481,28.5223192574194,28.5223192574194,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.3328085
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0107136,0.4606848,0.4392576,3.74426312762717,28.5326727774121,28.5326727774121,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.2939536
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0,100,0,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.74932328329752,28.5209422233157,28.5209422233157,NaN,0,NaN,NaN,,NaN,NaN,0,afterEqualizer,,1,OK,,3.1629154
7,H_EQ_rawGain_H_EQ_rawGain,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,6.9399957292334e-05,100,0.0476190476190476,42,44,0.00892,0.39248,0.37464,4.19498722341478,27.5453871510985,27.5453871510985,NaN,13.783931048077,1.92865493310657e-15,4.08609040253356,wrap,10,0.40284,0,afterEqualizer,mmse,1,OK,,3.6404084
8,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0.0032847533632287,51.1627906976744,0.1,20,22,0.01784,0.39248,0.3568,8.54911085495826,21.3615810290979,21.3615810290979,NaN,14.154878040773,1.92865493310657e-15,4.26927496228855,wrap,10,0.80568,0,afterEqualizer,mmse,1,OK,,6.831238
9,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0.0023449177877429,60.4651162790698,0.0416666666666667,24,26,0.01338,0.34788,0.32112,3.87062131640555,28.244386319114,28.244386319114,NaN,13.9722279480422,1.92865493310657e-15,4.20748732733662,wrap,10,0.60426,0,afterEqualizer,mmse,1,OK,,5.7279145
10,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0.0291559897501602,69.7674418604651,0.0357142857142857,28,30,0.0118933333333333,0.3568,0.333013333333333,3.91795009114769,28.138822011426,28.138822011426,NaN,13.8120498744668,1.92865493310657e-15,4.11979756372699,wrap,10,0.53712,0,afterEqualizer,mmse,1,OK,,5.3245101
11,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,1.91231751027188e-05,100,0.024390243902439,41,43,0.0107136,0.4606848,0.4392576,4.20273272556654,27.5293645648804,27.5293645648804,NaN,13.7176172267237,1.92865493310657e-15,4.06863453274799,wrap,10,0.48384,0,afterEqualizer,mmse,1,OK,,4.355409
12,H_EQ_rawGain_H_EQ_rawGain,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,4.88673631170862e-05,100,0.024390243902439,41,43,0.0102674285714286,0.441499428571429,0.420964571428571,3.7654816977061,28.4835891793091,28.4835891793091,NaN,13.7321000410175,1.92865493310657e-15,4.06431990250912,wrap,10,0.46368,0,afterEqualizer,mmse,1,OK,,4.2146654
